[[9. 6. 3. 0. 0. 0. 0. 0. 0.]],[[6. 4. 2. 0. 0. 0. 0. 0. 0.]],[[3. 2. 1. 0. 0. 0. 0. 0. 0.]],[[0. 0. 0. 9. 6. 3. 0. 0. 0.]],[[0. 0. 0. 6. 4. 2. 0. 0. 0.]],[[0. 0. 0. 3. 2. 1. 0. 0. 0.]],[[0.  0.  0.  0.  0.  0.  0.1 0.  0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.1 0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.  0.1]]
[[9. 6. 3. 0. 0. 0. 0. 0. 0.]],[[6. 4. 2. 0. 0. 0. 0. 0. 0.]],[[3. 2. 1. 0. 0. 0. 0. 0. 0.]],[[0. 0. 0. 9. 6. 3. 0. 0. 0.]],[[0. 0. 0. 6. 4. 2. 0. 0. 0.]],[[0. 0. 0. 3. 2. 1. 0. 0. 0.]],[[0.  0.  0.  0.  0.  0.  0.1 0.  0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.1 0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.  0.1]]
[[9. 6. 3. 0. 0. 0. 0. 0. 0.]],[[6. 4. 2. 0. 0. 0. 0. 0. 0.]],[[3. 2. 1. 0. 0. 0. 0. 0. 0.]],[[0. 0. 0. 9. 6. 3. 0. 0. 0.]],[[0. 0. 0. 6. 4. 2. 0. 0. 0.]],[[0. 0. 0. 3. 2. 1. 0. 0. 0.]],[[0.  0.  0.  0.  0.  0.  0.1 0.  0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.1 0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.  0.1]]
[[9. 6. 3. 0. 0. 0. 0. 0. 0.]],[[6. 4. 2. 0. 0. 0. 0. 0. 0.]],[[3. 2. 1. 0. 0. 0. 0. 0. 0.]],[[0. 0. 0. 9. 6. 3. 0. 0. 0.]],[[0. 0. 0. 6. 4. 2. 0. 0. 0.]],[[0. 0. 0. 3. 2. 1. 0. 0. 0.]],[[0.  0.  0.  0.  0.  0.  0.1 0.  0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.1 0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.  0.1]]
[[9. 6. 3. 0. 0. 0. 0. 0. 0.]],[[6. 4. 2. 0. 0. 0. 0. 0. 0.]],[[3. 2. 1. 0. 0. 0. 0. 0. 0.]],[[0. 0. 0. 9. 6. 3. 0. 0. 0.]],[[0. 0. 0. 6. 4. 2. 0. 0. 0.]],[[0. 0. 0. 3. 2. 1. 0. 0. 0.]],[[0.  0.  0.  0.  0.  0.  0.1 0.  0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.1 0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.  0.1]]
[[9. 6. 3. 0. 0. 0. 0. 0. 0.]],[[6. 4. 2. 0. 0. 0. 0. 0. 0.]],[[3. 2. 1. 0. 0. 0. 0. 0. 0.]],[[0. 0. 0. 9. 6. 3. 0. 0. 0.]],[[0. 0. 0. 6. 4. 2. 0. 0. 0.]],[[0. 0. 0. 3. 2. 1. 0. 0. 0.]],[[0.  0.  0.  0.  0.  0.  0.1 0.  0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.1 0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.  0.1]]
[[9. 6. 3. 0. 0. 0. 0. 0. 0.]],[[6. 4. 2. 0. 0. 0. 0. 0. 0.]],[[3. 2. 1. 0. 0. 0. 0. 0. 0.]],[[0. 0. 0. 9. 6. 3. 0. 0. 0.]],[[0. 0. 0. 6. 4. 2. 0. 0. 0.]],[[0. 0. 0. 3. 2. 1. 0. 0. 0.]],[[0.  0.  0.  0.  0.  0.  0.1 0.  0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.1 0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.  0.1]]
[[9. 6. 3. 0. 0. 0. 0. 0. 0.]],[[6. 4. 2. 0. 0. 0. 0. 0. 0.]],[[3. 2. 1. 0. 0. 0. 0. 0. 0.]],[[0. 0. 0. 9. 6. 3. 0. 0. 0.]],[[0. 0. 0. 6. 4. 2. 0. 0. 0.]],[[0. 0. 0. 3. 2. 1. 0. 0. 0.]],[[0.  0.  0.  0.  0.  0.  0.1 0.  0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.1 0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.  0.1]]
[[9. 6. 3. 0. 0. 0. 0. 0. 0.]],[[6. 4. 2. 0. 0. 0. 0. 0. 0.]],[[3. 2. 1. 0. 0. 0. 0. 0. 0.]],[[0. 0. 0. 9. 6. 3. 0. 0. 0.]],[[0. 0. 0. 6. 4. 2. 0. 0. 0.]],[[0. 0. 0. 3. 2. 1. 0. 0. 0.]],[[0.  0.  0.  0.  0.  0.  0.1 0.  0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.1 0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.  0.1]]
[[900. 600. 300.   0.   0.   0.]],[[600. 400. 200.   0.   0.   0.]],[[300. 200. 100.   0.   0.   0.]],[[  0.   0.   0. 900. 600. 300.]],[[  0.   0.   0. 600. 400. 200.]],[[  0.   0.   0. 300. 200. 100.]]
[[8.9999 6.     3.     0.     0.     0.     0.     0.     0.    ]],[[ 6.  4.  2. -0. -0. -0.  0.  0.  0.]],[[3. 2. 1. 0. 0. 0. 0. 0. 0.]],[[ 0.     -0.      0.      8.9999  6.      3.      0.      0.      0.    ]],[[ 0. -0.  0.  6.  4.  2.  0.  0.  0.]],[[ 0. -0.  0.  3.  2.  1.  0.  0.  0.]],[[0.  0.  0.  0.  0.  0.  0.1 0.  0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.1 0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.  0.1]]
[[9.4499 6.5484 3.6868 0.0129 0.007  0.0019 0.     0.     0.    ]],[[6.5484 4.6684 2.8372 0.0118 0.0059 0.001  0.     0.     0.    ]],[[ 3.6868  2.8372  2.0485  0.0111  0.0049 -0.      0.      0.      0.    ]],[[0.0129 0.0118 0.0111 8.9999 6.     3.     0.     0.     0.    ]],[[0.007  0.0059 0.0049 6.     4.     2.     0.     0.     0.    ]],[[ 0.0019  0.001  -0.      3.      2.      1.      0.      0.      0.    ]],[[0.  0.  0.  0.  0.  0.  0.1 0.  0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.1 0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.  0.1]]
[[ 9.3718  6.5553  3.54   -0.2288 -0.1311 -0.0273  0.      0.      0.    ]],[[ 6.5553  4.8193  2.7937 -0.1998 -0.1021  0.0044  0.      0.      0.    ]],[[ 3.54    2.7937  1.7694 -0.2046 -0.1065 -0.      0.      0.      0.    ]],[[-0.2288 -0.1998 -0.2046  8.9726  5.9789  2.9863  0.      0.      0.    ]],[[-0.1311 -0.1021 -0.1065  5.9789  3.9852  1.9926  0.      0.      0.    ]],[[-0.0273  0.0044 -0.      2.9863  1.9926  1.      0.      0.      0.    ]],[[0.  0.  0.  0.  0.  0.  0.1 0.  0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.1 0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.  0.1]]
[[ 9.2669  6.468   3.4295 -0.3994 -0.2172 -0.0479  0.      0.      0.    ]],[[ 6.468   4.7625  2.6921 -0.3235 -0.1413  0.0212  0.      0.      0.    ]],[[ 3.4295  2.6921  1.6325 -0.3424 -0.1625 -0.      0.      0.      0.    ]],[[-0.3994 -0.3235 -0.3424  8.9055  5.9316  2.953   0.      0.      0.    ]],[[-0.2172 -0.1413 -0.1625  5.9316  3.9578  1.9789  0.      0.      0.    ]],[[-0.0479  0.0212 -0.      2.953   1.9789  1.      0.      0.      0.    ]],[[0.  0.  0.  0.  0.  0.  0.1 0.  0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.1 0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.  0.1]]
[[ 9.1308  6.3463  3.3265 -0.5578 -0.2958 -0.0686  0.      0.      0.    ]],[[ 6.3463  4.6489  2.5926 -0.4371 -0.1751  0.0326  0.      0.      0.    ]],[[ 3.3265  2.5926  1.5499 -0.4619 -0.2077  0.      0.      0.      0.    ]],[[-0.5578 -0.4371 -0.4619  8.7943  5.8572  2.8994  0.      0.      0.    ]],[[-0.2958 -0.1751 -0.2077  5.8572  3.92    1.96    0.      0.      0.    ]],[[-0.0686  0.0326  0.      2.8994  1.96    1.      0.      0.      0.    ]],[[0.  0.  0.  0.  0.  0.  0.1 0.  0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.1 0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.  0.1]]
[[ 8.9864  6.222   3.2311 -0.6696 -0.3503 -0.0828  0.      0.      0.    ]],[[ 6.222   4.5338  2.5062 -0.519  -0.1997  0.0382  0.      0.      0.    ]],[[ 3.2311  2.5062  1.4914 -0.5452 -0.238   0.      0.      0.      0.    ]],[[-0.6696 -0.519  -0.5452  8.6674  5.7743  2.8395  0.      0.      0.    ]],[[-0.3503 -0.1997 -0.238   5.7743  3.8812  1.9406  0.      0.      0.    ]],[[-0.0828  0.0382  0.      2.8395  1.9406  1.      0.      0.      0.    ]],[[0.  0.  0.  0.  0.  0.  0.1 0.  0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.1 0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.  0.1]]
[[ 8.8327  6.0958  3.1403 -0.7575 -0.3929 -0.0931  0.      0.      0.    ]],[[ 6.0958  4.4226  2.4318 -0.5889 -0.2243  0.0386  0.      0.      0.    ]],[[ 3.1403  2.4318  1.4508 -0.6131 -0.2629  0.      0.      0.      0.    ]],[[-0.7575 -0.5889 -0.6131  8.5252  5.6827  2.7733  0.      0.      0.    ]],[[-0.3929 -0.2243 -0.2629  5.6827  3.8403  1.9201  0.      0.      0.    ]],[[-0.0931  0.0386  0.      2.7733  1.9201  1.      0.      0.      0.    ]],[[0.  0.  0.  0.  0.  0.  0.1 0.  0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.1 0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.  0.1]]
[[ 8.6637  5.9585  3.0535 -0.8402 -0.4349 -0.1032  0.      0.      0.    ]],[[ 5.9585  4.2997  2.366  -0.6725 -0.2673  0.0256  0.      0.      0.    ]],[[ 3.0535  2.366   1.4357 -0.6877 -0.2928 -0.      0.      0.      0.    ]],[[-0.8402 -0.6725 -0.6877  8.3623  5.5774  2.6976  0.      0.      0.    ]],[[-0.4349 -0.2673 -0.2928  5.5774  3.7924  1.8962  0.      0.      0.    ]],[[-0.1032  0.0256 -0.      2.6976  1.8962  1.      0.      0.      0.    ]],[[0.  0.  0.  0.  0.  0.  0.1 0.  0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.1 0. ]],[[0.  0.  0.  0.  0.  0.  0.  0.  0.1]]
