[-2.     -1.      3.7988  1.8994  0.1156  0.028 ]
[-1.7927 -1.1218  3.5451  1.7666  0.0613  0.0152]
[-1.7927 -1.1218  3.5451  1.7666  0.0613  0.0152]
[-1.5957 -0.8105  3.3884  1.6851  0.0073  0.0029]
[-1.5957 -0.8105  3.3884  1.6851  0.0073  0.0029]
[-1.3943 -0.7295  3.1706  1.5823 -0.0741 -0.0189]
[-1.3943 -0.7295  3.1706  1.5823 -0.0741 -0.0189]
[-1.1811 -0.3006  3.3025  1.634  -0.0629 -0.0162]
[-1.1811 -0.3006  3.3025  1.634  -0.0629 -0.0162]
[-0.9569 -0.1141  3.2243  1.6288 -0.0474 -0.0116]
[-0.9569 -0.1141  3.2243  1.6288 -0.0474 -0.0116]
[-0.7388 -0.1881  3.136   1.6046 -0.0367 -0.0091]
[-0.7388 -0.1881  3.136   1.6046 -0.0367 -0.0091]
[-0.5244 -0.2811  3.1371  1.5908 -0.0015 -0.0131]
[-0.5244 -0.2811  3.1371  1.5908 -0.0015 -0.0131]
[-30.5475 -15.6931   0.0141   0.0042]
[-30.5475 -15.6931   0.0141   0.0042]
[-2.     -1.     -0.     -0.      0.1389  0.0468]
[-2.     -1.      3.801   1.9005  0.1154  0.028 ]
[-1.7924 -1.1243  3.544   1.7661  0.06    0.0149]
[-1.5954 -0.8168  3.39    1.6856  0.0054  0.0024]
[-1.3943 -0.7172  3.1959  1.5956 -0.0682 -0.0173]
[-1.181  -0.3255  3.2932  1.63   -0.0627 -0.0161]
[-0.9574 -0.1235  3.2232  1.6257 -0.0478 -0.0118]
[-0.7393 -0.1868  3.1389  1.6035 -0.0362 -0.0091]
[-0.5246 -0.2729  3.1394  1.5904 -0.0007 -0.0128]
[-30.5549 -15.6477   0.0113   0.0037]
[-2.     -1.     -0.     -0.      0.1389  0.0468]
[-2.     -1.     -0.     -0.      0.1389  0.0468]
[-2.     -1.      3.801   1.9005  0.1154  0.028 ]
[-2.     -1.      3.801   1.9005  0.1154  0.028 ]
[-1.7924 -1.1243  3.544   1.7661  0.06    0.0149]
[-1.7924 -1.1243  3.544   1.7661  0.06    0.0149]
[-1.5954 -0.8168  3.39    1.6856  0.0054  0.0024]
[-1.5954 -0.8168  3.39    1.6856  0.0054  0.0024]
[-1.3943 -0.7172  3.1959  1.5956 -0.0682 -0.0173]
[-1.3943 -0.7172  3.1959  1.5956 -0.0682 -0.0173]
[-1.181  -0.3255  3.2932  1.63   -0.0627 -0.0161]
[-1.181  -0.3255  3.2932  1.63   -0.0627 -0.0161]
[-0.9574 -0.1235  3.2232  1.6257 -0.0478 -0.0118]
[-0.9574 -0.1235  3.2232  1.6257 -0.0478 -0.0118]
[-0.7393 -0.1868  3.1389  1.6035 -0.0362 -0.0091]
[-0.7393 -0.1868  3.1389  1.6035 -0.0362 -0.0091]
[-0.5246 -0.2729  3.1394  1.5904 -0.0007 -0.0128]
[-0.5246 -0.2729  3.1394  1.5904 -0.0007 -0.0128]
[-30.5549 -15.6477   0.0113   0.0037]
[-30.5549 -15.6477   0.0113   0.0037]
[-2.     -1.      0.      0.      0.1399  0.047 ]
[-2.     -1.      3.798   1.899   0.1153  0.028 ]
[-1.7928 -1.1204  3.5432  1.7656  0.0597  0.0148]
[-1.5959 -0.8141  3.3876  1.6849  0.0042  0.0021]
[-1.3946 -0.7183  3.1979  1.5962 -0.0685 -0.0174]
[-1.1809 -0.3188  3.2948  1.6307 -0.0624 -0.016 ]
[-0.9572 -0.1213  3.2227  1.6259 -0.0477 -0.0118]
[-0.7392 -0.187   3.1381  1.6037 -0.0364 -0.0091]
[-0.5246 -0.275   3.1388  1.5905 -0.0011 -0.0129]
[-30.5534 -15.6581   0.0123   0.004 ]
