[2. 1. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[0. 0. 4. 2. 0. 0.],[0. 0. 2. 1. 0. 0.],[0.  0.  0.  0.  0.1 0. ],[0.  0.  0.  0.  0.  0.1]
[2. 1. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[0. 0. 4. 2. 0. 0.],[0. 0. 2. 1. 0. 0.],[0.  0.  0.  0.  0.1 0. ],[0.  0.  0.  0.  0.  0.1]
[2. 1. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[0. 0. 4. 2. 0. 0.],[0. 0. 2. 1. 0. 0.],[0.  0.  0.  0.  0.1 0. ],[0.  0.  0.  0.  0.  0.1]
[2. 1. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[0. 0. 4. 2. 0. 0.],[0. 0. 2. 1. 0. 0.],[0.  0.  0.  0.  0.1 0. ],[0.  0.  0.  0.  0.  0.1]
[2. 1. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[0. 0. 4. 2. 0. 0.],[0. 0. 2. 1. 0. 0.],[0.  0.  0.  0.  0.1 0. ],[0.  0.  0.  0.  0.  0.1]
[2. 1. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[0. 0. 4. 2. 0. 0.],[0. 0. 2. 1. 0. 0.],[0.  0.  0.  0.  0.1 0. ],[0.  0.  0.  0.  0.  0.1]
[2. 1. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[0. 0. 4. 2. 0. 0.],[0. 0. 2. 1. 0. 0.],[0.  0.  0.  0.  0.1 0. ],[0.  0.  0.  0.  0.  0.1]
[2. 1. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[0. 0. 4. 2. 0. 0.],[0. 0. 2. 1. 0. 0.],[0.  0.  0.  0.  0.1 0. ],[0.  0.  0.  0.  0.  0.1]
[2. 1. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[0. 0. 4. 2. 0. 0.],[0. 0. 2. 1. 0. 0.],[0.  0.  0.  0.  0.1 0. ],[0.  0.  0.  0.  0.  0.1]
[200. 100.   0.   0.],[100.   0.   0.   0.],[  0.   0. 400. 200.],[  0.   0. 200. 100.]
